序号,ID,商品,现价,原价,商品网址,店铺,店铺网址,图片网址,数量,分类,rule_id,seller_id,app_id,application_id,sid
20,524416308933,预售新款气质时尚羽绒服,278.60,998.00,//item.taobao.com/item.htm?id=524416308933,妍儿家,//yanerjia.taobao.com/dc-3773.htm,//gw.alicdn.com/bao/uploaded/TB1pECVKFXXXXXcXXXXSutbFXXX.jpg,53964,nvzhuang,1206064,67061333,5264902295944,5264902295944,238414
21,524779808482,超大毛领羽绒服女加厚,298.00,1998.00,//item.taobao.com/item.htm?id=524779808482,尚束优品,//ssypin.taobao.com/dc-3773.htm,//gw.alicdn.com/bao/uploaded/TB1I.7MKFXXXXaJXXXXSutbFXXX.jpg,19225,nvzhuang,1206064,134823409,5330247235944,5330247235944,238414
22,523939443028,冬装韩版中长款加厚羽绒服,187.60,1380.00,//item.taobao.com/item.htm?id=523939443028,绮妩原创女装,//shop62253260.taobao.com/dc-3773.htm,//gw.alicdn.com/bao/uploaded/TB1yZQYKFXXXXXAXVXXSutbFXXX.jpg,42198,nvzhuang,1206064,446710345,5352726965944,5352726965944,238414
23,524328431813,毛菇小象 中长款羽绒服,498.00,999.00,//item.taobao.com/item.htm?id=524328431813,毛菇小象,//shop64185146.taobao.com/,//gw.alicdn.com/bao/uploaded/TB1Nog1KFXXXXczXXXXSutbFXXX.jpg,13780,nvzhuang,1206064,479184430,5342165565944,5342165565944,238414
24,524371136014,超大真毛９０绒羽绒服,1128.00,1612.00,//item.taobao.com/item.htm?id=524371136014,LIN 品质女装,//shop34404955.taobao.com/,//gw.alicdn.com/bao/uploaded/TB1YM1MKFXXXXaBaXXXSutbFXXX.jpg,312,nvzhuang,1206064,57220545,5278961055944,5278961055944,238414
25,524452798461,大毛领长款过膝羽绒服女,298.00,1398.00,//item.taobao.com/item.htm?id=524452798461,失忆老斑鸠,//shop70834683.taobao.com/,//gw.alicdn.com/bao/uploaded/TB1T2JtKVXXXXc9XFXXSutbFXXX.jpg,13047,nvzhuang,1206064,774117698,5375141285944,5375141285944,238414
26,524324377547,欧洲站狐狸毛皮羽绒服外套,798.00,3990.00,//item.taobao.com/item.htm?id=524324377547,安妮欧洲站,//shop72553143.taobao.com/,//gw.alicdn.com/bao/uploaded/TB18pFgKFXXXXXPXFXXSutbFXXX.jpg,34132,nvzhuang,1206064,916575541,5229648955944,5229648955944,238414
27,524856162133,中长款羽绒外套修身羽绒服,489.99,699.99,//item.taobao.com/item.htm?id=524856162133,YESWOMEN,//shop36948107.taobao.com/,//gw.alicdn.com/bao/uploaded/TB1y_meKVXXXXaqXFXXSutbFXXX.jpg,1141,nvzhuang,1206064,167788711,5413645025944,5413645025944,238414
28,524435719637,轻薄白鸭绒连帽羽绒服,104.00,499.00,//item.taobao.com/item.htm?id=524435719637,陌生爱流行服饰店,//shop72971221.taobao.com/dc-3773.htm,//gw.alicdn.com/bao/uploaded/TB1Cs6lKFXXXXXjXFXX1rlbFXXX.JPG,12510,nvzhuang,1206064,833559524,5284281525944,5284281525944,238414
29,524464906601,大狐狸毛领PU皮羽绒服,320.00,916.00,//item.taobao.com/item.htm?id=524464906601,玖玖狐实拍女装,//shop116092597.taobao.com/dc-3773.htm,//gw.alicdn.com/bao/uploaded/TB1A517KFXXXXaaXFXXSutbFXXX.jpg,47067,nvzhuang,1206064,924594307,5280203445944,5280203445944,238414
